text,label
"Dear Customer, your account has been suspended. Please login now to verify your information at http://update-account-info.com.",1
"Hi team, just a reminder that our weekly meeting is at 10 AM tomorrow.",0
"URGENT: Security Alert! Someone attempted to access your password. Click here to secure your account immediately.",1
"Please review the attached invoice for your recent purchase. Let me know if you have any questions.",0
"You have won a $1000 gift card! Reply now to claim your prize.",1
"Can we schedule a quick call later this afternoon to discuss the project?",0
"Your Netflix account is on hold. Update your payment information here.",1
"Here is the report for Q3. The numbers look good.",0
"Verify your email address to continue using our services.",1
"Thanks for reaching out. I'll get back to you soon.",0
"We noticed suspicious login attempts on your account. Change your password here.",1
"Let's grab lunch tomorrow around noon.",0
"Your PayPal account is limited. Click the link to resolve this issue.",1
"The code changes have been merged. Great job everyone.",0
"Action Required: Update your Apple ID security questions.",1
"Looking forward to seeing you at the conference next week.",0
"Dear user, your bank account has been compromised. Verify your identity immediately at http://secure-bank-login.net.",1
"Please find attached the meeting notes from today's session.",0
"Congratulations! You have been selected for a free iPhone 15. Claim now!",1
"Hi, can you send me the updated project timeline?",0
"Your Amazon order has been delayed. Click here to track and verify your address.",1
"The team did an excellent job on the presentation today.",0
"ALERT: Unauthorized access detected. Login to http://myaccount-security.com to secure your account.",1
"Just checking in to see how the sprint is going.",0
"You owe taxes. Pay now at http://tax-refund-gov.net to avoid penalty.",1
"Great work on the report! I will share feedback soon.",0
"Your Outlook account will be deactivated. Click here to keep it active.",1
"Please review the document I shared and provide your comments.",0
"We are giving away free gift vouchers! Enter your details to win.",1
"I have updated the slides. Please review before the 3 PM meeting.",0
"Your Microsoft account requires verification. Click here to avoid suspension.",1
"The deployment went smoothly. All services are running fine.",0
"WINNER! You have been selected. Provide your bank details to receive $5000.",1
"Reminder: your annual performance review is scheduled for next Monday.",0
"Your iCloud storage is full. Upgrade now at http://icloud-storage-upgrade.com.",1
"I've reviewed your pull request and left some comments.",0
"Claim your free vacation package now! Limited spots available.",1
"Can you share the budget report before the end of the day?",0
"Your account will be terminated unless you update your billing information now.",1
"The client called and wants to push the deadline to next Friday.",0
"Dear winner, you have been selected in our lottery. Share your details to claim your prize.",1
"Our team is happy to announce the successful product launch!",0
"Verify your email now or your account will be deleted within 24 hours.",1
"Please confirm your attendance for the offsite planning meeting.",0
"Your debit card has been blocked. Log in to http://unblock-card-now.com immediately.",1
"I wanted to follow up on our discussion from last week.",0
"You have a pending refund of $350. Confirm your bank details here.",1
"Happy to have you on board! Let us know if you need any help getting started.",0
"Your subscription will expire. Click here to renew and avoid service interruption.",1
"The new onboarding process starts next Monday. Please be prepared.",0
"SECURITY WARNING: Your password was exposed in a data breach. Reset it now at http://reset-password-secure.com.",1
"I'll be out of office from Monday to Wednesday. Please reach out to my colleague.",0
"Free entry to our exclusive event! Register with your credit card for a small processing fee.",1
"The bug fix has been deployed to production. Monitoring is in place.",0
"Your Google account is at risk. Click here to verify your identity immediately.",1
"Please share the latest version of the design mockups.",0
"You have unclaimed rewards in your account. Login to http://rewards-claim-now.com.",1
"I hope this email finds you well. Wanted to touch base on the upcoming project.",0
"ACTION REQUIRED: Your direct deposit failed. Update your bank info at http://update-payroll.com.",1
"The quarterly financial summary has been shared with the board.",0
"Limited time offer! Get 90% off on our premium plan. Click here to activate.",1
"Our server migration was successful. No action required on your end.",0
"FINAL WARNING: Your account will be suspended. Confirm your credentials here.",1
"Please join us for the team lunch this Friday at 1 PM.",0
"Exclusive deal just for you! Buy now and get a free membership.",1
"The sprint review is scheduled for Thursday at 11 AM.",0
"Your session has expired. Login again at http://secure-relogin.net.",1
"I reviewed the contract and everything looks good. Ready to sign.",0
"Claim your tax refund of $780 now. Fill in your details at http://taxrefund-claim.net.",1
"We are pleased to inform you that your application has been shortlisted.",0
"We detected a virus on your device. Call our support at 1-800-HELP-NOW.",1
"Thank you for submitting your proposal. We will review and get back to you.",0
"Your credit card statement is ready. View it at http://creditcard-statement-secure.com.",1
"Looking forward to our 1:1 tomorrow. I have a few things to discuss.",0
"You have been selected for a free health insurance plan. Provide your SSN to enroll.",1
"The hotfix for the login bug has been pushed to production.",0
"Your account information needs to be updated. Failure to do so will result in a ban.",1
"Please find the Q2 sales report attached to this email.",0
"Act now! Your account has suspicious activity. Secure it at http://account-activity.net.",1
"Just wanted to say great job on leading the client call today.",0
"Claim your free Amazon Prime membership now. No credit card needed — just your account details.",1
"The infrastructure upgrade has been completed successfully with no downtime.",0
"Final notice: Respond to verify your identity or your account will be permanently closed.",1
"I'll send over the revised estimates by end of week.",0
